Vardas         Pavardė       ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas9073     Pavardė9073   5         3         2         10        2         5         1         1         8         8         4         7         8         10        10        6         
Vardas9074     Pavardė9074   1         6         6         8         10        8         6         8         5         3         2         6         2         1         8         6         
Vardas9075     Pavardė9075   5         6         10        7         6         9         5         8         6         7         4         5         6         1         6         8         
Vardas9076     Pavardė9076   2         5         7         9         2         4         5         4         1         5         9         7         4         5         4         4         
Vardas9077     Pavardė9077   1         7         4         2         10        1         5         4         6         3         9         2         3         9         8         5         
Vardas9078     Pavardė9078   6         1         4         8         1         6         1         1         6         1         4         1         8         10        7         5         
Vardas9079     Pavardė9079   10        3         9         6         6         4         7         4         3         8         6         10        1         4         1         7         
Vardas9080     Pavardė9080   6         9         9         10        10        9         4         3         4         1         9         1         1         3         10        4         
Vardas9081     Pavardė9081   9         2         6         1         3         7         6         10        6         8         1         2         10        7         8         9         
Vardas9082     Pavardė9082   7         10        8         6         8         2         3         7         5         10        2         3         5         5         2         9         
Vardas9083     Pavardė9083   2         5         6         9         2         2         6         6         4         2         9         1         10        6         2         1         
Vardas9084     Pavardė9084   4         10        9         9         6         4         3         7         6         1         7         2         7         4         3         3         
Vardas9085     Pavardė9085   8         4         4         2         9         6         9         7         10        9         5         10        4         3         6         5         
Vardas9086     Pavardė9086   9         8         7         3         7         6         4         2         4         9         8         2         3         4         2         2         
Vardas9087     Pavardė9087   9         1         10        7         2         4         4         9         8         2         3         1         5         4         6         2         
Vardas9088     Pavardė9088   5         3         8         9         9         10        4         3         4         6         1         2         2         1         3         8         
Vardas9089     Pavardė9089   4         10        1         5         9         1         1         9         2         3         7         7         3         3         10        3         
Vardas9090     Pavardė9090   8         6         5         6         7         6         1         7         9         2         7         3         6         4         8         1         
Vardas9091     Pavardė9091   4         7         2         9         4         3         7         4         8         10        4         10        3         8         1         10        
Vardas9092     Pavardė9092   1         3         8         9         1         3         9         9         3         5         2         9         4         5         10        5         
Vardas9093     Pavardė9093   3         5         4         10        7         10        5         1         9         1         4         5         1         2         5         3         
Vardas9094     Pavardė9094   9         9         1         10        3         6         10        9         9         9         7         10        7         6         3         10        
Vardas9095     Pavardė9095   3         7         4         3         8         5         10        3         3         3         6         5         4         4         5         9         
Vardas9096     Pavardė9096   1         10        2         7         5         4         4         7         8         6         9         4         6         2         7         10        
Vardas9097     Pavardė9097   7         5         4         8         1         4         7         8         7         3         5         2         1         7         4         8         
Vardas9098     Pavardė9098   5         4         1         2         1         2         6         2         8         2         7         8         10        2         4         10        
Vardas9099     Pavardė9099   6         10        1         4         7         10        4         4         2         1         4         9         3         6         5         9         
Vardas9100     Pavardė9100   3         4         1         10        6         5         1         9         6         2         3         6         7         1         5         4         
Vardas9101     Pavardė9101   8         4         5         9         6         9         3         3         7         3         6         2         4         10        6         8         
Vardas9102     Pavardė9102   5         6         6         10        6         10        10        1         9         4         10        7         7         2         4         3         
Vardas9103     Pavardė9103   9         2         8         6         9         3         4         8         6         3         6         1         1         9         4         2         
Vardas9104     Pavardė9104   10        5         6         10        8         1         8         2         2         1         9         4         7         2         4         8         
Vardas9105     Pavardė9105   5         7         5         5         5         9         4         8         1         7         3         8         3         2         3         6         
Vardas9106     Pavardė9106   10        2         1         5         6         7         5         7         9         3         7         6         9         8         1         1         
Vardas9107     Pavardė9107   3         1         6         6         3         7         2         8         6         5         8         5         3         2         7         10        
Vardas9108     Pavardė9108   9         2         6         9         1         4         2         9         8         3         4         3         2         5         7         9         
Vardas9109     Pavardė9109   2         7         9         6         10        4         4         1         8         5         9         7         2         9         1         2         
Vardas9110     Pavardė9110   4         2         2         2         9         6         1         8         7         2         2         6         10        8         6         4         
Vardas9111     Pavardė9111   10        9         9         8         4         6         8         10        3         8         1         9         10        10        2         3         
Vardas9112     Pavardė9112   6         8         10        1         5         7         3         8         5         8         6         6         10        5         9         4         
Vardas9113     Pavardė9113   3         4         1         6         3         8         1         4         4         3         2         1         4         7         8         4         
Vardas9114     Pavardė9114   7         5         1         5         8         10        10        7         9         9         9         7         7         8         4         5         
Vardas9115     Pavardė9115   3         3         1         5         7         4         5         4         4         9         4         6         6         5         5         9         
Vardas9116     Pavardė9116   8         8         7         7         10        9         3         4         5         4         4         9         8         4         2         8         
Vardas9117     Pavardė9117   5         7         2         10        10        5         4         6         10        7         5         3         4         3         10        7         
Vardas9118     Pavardė9118   7         1         4         8         8         1         6         6         3         2         5         2         2         6         4         8         
Vardas9119     Pavardė9119   4         3         7         10        10        10        8         8         6         5         4         4         10        3         7         8         
Vardas9120     Pavardė9120   1         4         7         1         7         5         5         4         3         7         4         1         3         8         5         2         
Vardas9121     Pavardė9121   2         5         2         10        5         9         4         9         4         8         1         4         4         2         7         8         
Vardas9122     Pavardė9122   9         5         10        5         1         9         3         7         10        1         1         9         4         8         10        6         
Vardas9123     Pavardė9123   8         9         1         4         7         1         5         3         5         10        10        3         8         1         9         8         
Vardas9124     Pavardė9124   3         10        5         2         6         5         5         10        7         1         1         7         1         9         4         9         
Vardas9125     Pavardė9125   1         1         9         4         8         10        7         2         7         7         1         10        10        3         3         2         
Vardas9126     Pavardė9126   1         7         9         4         3         2         2         6         1         6         3         8         2         5         1         2         
Vardas9127     Pavardė9127   4         3         1         5         1         6         1         5         5         9         5         1         9         1         3         9         
Vardas9128     Pavardė9128   5         9         1         4         5         2         2         4         8         8         10        7         8         10        2         9         
Vardas9129     Pavardė9129   6         9         8         2         9         9         5         2         10        9         8         6         5         2         9         2         
Vardas9130     Pavardė9130   2         8         7         7         5         6         5         7         8         2         1         4         3         2         2         2         
Vardas9131     Pavardė9131   2         8         8         4         5         4         1         4         1         5         4         7         9         1         1         9         
Vardas9132     Pavardė9132   6         5         6         8         10        8         7         4         10        6         9         5         7         2         9         5         
Vardas9133     Pavardė9133   3         1         3         5         2         9         8         3         1         2         7         4         2         10        9         5         
Vardas9134     Pavardė9134   3         5         9         5         4         8         10        10        6         10        9         10        5         2         7         4         
Vardas9135     Pavardė9135   8         5         6         5         9         3         10        6         7         10        2         4         7         6         9         7         
Vardas9136     Pavardė9136   3         4         9         3         5         4         9         10        4         3         8         7         8         2         7         9         
Vardas9137     Pavardė9137   7         2         5         8         8         2         4         8         6         7         8         6         8         9         5         8         
Vardas9138     Pavardė9138   2         8         2         7         6         2         4         5         1         3         2         8         5         8         5         2         
Vardas9139     Pavardė9139   1         4         2         10        3         2         2         8         3         2         2         2         4         4         3         1         
Vardas9140     Pavardė9140   10        5         3         10        7         9         9         4         3         9         10        6         9         10        10        5         
Vardas9141     Pavardė9141   9         6         8         10        7         9         5         9         6         7         8         4         1         3         5         4         
Vardas9142     Pavardė9142   7         8         1         7         10        4         9         1         9         10        2         8         9         4         10        5         
Vardas9143     Pavardė9143   2         5         6         10        6         3         1         9         7         6         7         6         6         6         4         10        
Vardas9144     Pavardė9144   4         2         4         9         4         3         6         3         6         2         3         10        10        8         9         9         
Vardas9145     Pavardė9145   6         7         3         9         10        4         1         7         4         6         6         6         5         10        1         6         
Vardas9146     Pavardė9146   10        4         3         3         6         9         10        8         9         7         4         6         3         5         6         7         
Vardas9147     Pavardė9147   1         8         2         8         3         3         7         3         7         8         10        6         8         1         7         2         
Vardas9148     Pavardė9148   10        7         9         3         7         4         1         5         5         8         9         4         8         9         9         7         
Vardas9149     Pavardė9149   5         5         6         8         1         4         10        3         1         10        7         7         1         3         4         9         
Vardas9150     Pavardė9150   7         3         8         9         2         9         4         10        2         2         8         8         8         5         7         7         
Vardas9151     Pavardė9151   5         1         4         3         1         10        8         1         7         3         10        3         3         1         6         2         
Vardas9152     Pavardė9152   2         7         5         3         2         6         2         2         3         3         7         10        7         7         6         1         
Vardas9153     Pavardė9153   9         6         7         9         2         7         5         3         7         5         9         6         3         5         7         3         
Vardas9154     Pavardė9154   8         6         4         2         2         4         10        5         1         1         9         9         10        7         4         2         
Vardas9155     Pavardė9155   4         3         8         2         9         3         7         8         4         1         10        5         8         5         1         5         
Vardas9156     Pavardė9156   8         4         5         2         7         9         2         1         4         3         3         6         3         3         3         4         
Vardas9157     Pavardė9157   6         10        6         6         5         10        9         9         6         2         2         10        5         6         7         1         
Vardas9158     Pavardė9158   6         6         7         10        7         2         1         4         5         2         10        1         1         4         4         2         
Vardas9159     Pavardė9159   2         7         5         8         10        4         9         2         9         4         4         8         9         3         3         10        
Vardas9160     Pavardė9160   8         5         7         3         9         2         1         5         8         7         2         7         3         6         7         8         
Vardas9161     Pavardė9161   6         5         10        9         8         6         4         10        5         10        5         6         1         5         10        7         
Vardas9162     Pavardė9162   4         10        6         10        7         6         10        6         4         5         1         2         5         1         9         2         
Vardas9163     Pavardė9163   6         1         3         10        7         9         7         7         6         3         3         2         9         6         3         2         
Vardas9164     Pavardė9164   10        4         1         10        4         5         10        4         1         9         2         1         7         3         3         4         
Vardas9165     Pavardė9165   6         9         5         9         9         6         7         10        9         7         10        10        8         9         2         9         
Vardas9166     Pavardė9166   8         9         1         9         4         8         3         4         4         4         9         3         6         7         10        3         
Vardas9167     Pavardė9167   6         2         1         7         9         10        10        7         3         8         5         7         2         8         7         3         
Vardas9168     Pavardė9168   5         4         10        6         6         5         10        4         9         7         10        10        6         6         1         2         
Vardas9169     Pavardė9169   1         1         8         6         10        8         4         7         2         1         4         8         6         4         8         2         
Vardas9170     Pavardė9170   3         10        9         4         7         9         6         1         5         5         7         5         7         5         1         5         
Vardas9171     Pavardė9171   8         8         6         7         8         1         2         5         6         9         10        6         1         10        9         4         
Vardas9172     Pavardė9172   1         10        4         3         10        9         10        8         8         6         3         4         4         6         8         9         
Vardas9173     Pavardė9173   7         4         3         3         10        8         8         2         9         7         6         6         9         5         5         3         
Vardas9174     Pavardė9174   4         9         2         6         3         2         7         9         8         3         10        2         7         5         6         10        
Vardas9175     Pavardė9175   1         4         5         10        8         8         5         1         9         5         7         4         3         7         8         6         
Vardas9176     Pavardė9176   1         8         6         8         2         3         7         1         9         4         10        1         4         3         6         9         
Vardas9177     Pavardė9177   10        5         5         2         4         3         8         8         6         6         9         9         7         9         1         8         
Vardas9178     Pavardė9178   2         10        3         4         10        9         1         8         5         10        6         5         7         8         7         6         
Vardas9179     Pavardė9179   6         5         4         4         6         10        8         3         1         4         2         9         1         9         8         7         
Vardas9180     Pavardė9180   1         9         4         5         5         5         8         9         7         3         7         8         3         3         2         4         
Vardas9181     Pavardė9181   7         5         1         6         3         3         5         7         7         8         1         10        6         7         9         2         
Vardas9182     Pavardė9182   9         6         9         6         6         10        8         8         10        8         3         2         4         7         7         2         
Vardas9183     Pavardė9183   2         4         7         1         4         2         9         1         7         6         9         6         7         10        1         1         
Vardas9184     Pavardė9184   4         7         4         3         4         5         10        1         3         2         3         1         2         5         1         9         
Vardas9185     Pavardė9185   1         7         4         5         1         4         7         2         7         2         2         5         3         6         10        5         
Vardas9186     Pavardė9186   3         6         7         6         6         9         4         3         4         5         10        9         6         10        1         5         
Vardas9187     Pavardė9187   8         8         7         6         6         5         1         4         1         8         7         5         6         5         9         8         
Vardas9188     Pavardė9188   2         2         10        4         1         9         2         2         1         10        5         10        5         7         6         7         
Vardas9189     Pavardė9189   2         5         1         2         10        2         5         9         2         8         3         9         8         3         7         8         
Vardas9190     Pavardė9190   9         5         3         4         10        2         5         3         10        4         5         1         4         4         5         8         
Vardas9191     Pavardė9191   8         7         1         1         2         10        5         4         8         7         1         5         1         6         10        1         
Vardas9192     Pavardė9192   7         6         3         1         6         8         4         4         4         10        3         5         7         6         1         5         
Vardas9193     Pavardė9193   10        5         2         5         3         4         10        7         6         9         10        8         5         6         9         2         
Vardas9194     Pavardė9194   7         10        5         1         5         7         10        5         8         9         3         9         3         3         5         4         
Vardas9195     Pavardė9195   4         6         2         7         7         6         7         7         2         9         1         8         1         10        6         8         
Vardas9196     Pavardė9196   10        9         7         7         10        8         1         9         3         10        10        10        1         10        5         8         
Vardas9197     Pavardė9197   4         7         8         7         7         3         7         8         2         3         5         10        7         2         4         1         
Vardas9198     Pavardė9198   8         9         8         1         4         9         7         7         6         2         7         7         9         10        1         2         
Vardas9199     Pavardė9199   7         1         2         3         9         3         9         3         2         2         7         8         9         4         6         3         
Vardas9200     Pavardė9200   5         10        9         10        3         8         4         9         8         6         5         5         1         3         3         5         
Vardas9201     Pavardė9201   3         2         4         10        2         3         1         6         7         6         8         3         3         1         9         5         
Vardas9202     Pavardė9202   7         3         5         8         5         1         3         3         3         10        9         7         4         7         6         6         
Vardas9203     Pavardė9203   8         5         6         1         10        1         6         1         9         2         10        8         4         5         5         6         
Vardas9204     Pavardė9204   9         1         7         5         10        7         6         4         4         10        6         10        10        5         7         4         
Vardas9205     Pavardė9205   10        3         10        9         5         2         1         10        8         1         4         9         5         3         10        9         
Vardas9206     Pavardė9206   4         8         8         3         4         9         1         2         9         2         6         3         5         10        6         6         
Vardas9207     Pavardė9207   7         1         2         7         10        10        9         1         5         1         4         7         8         3         4         4         
Vardas9208     Pavardė9208   8         6         10        5         5         5         6         3         6         9         3         8         5         3         2         3         
Vardas9209     Pavardė9209   3         7         2         4         4         2         6         10        6         4         10        5         5         4         3         2         
Vardas9210     Pavardė9210   4         7         6         2         7         1         5         8         8         8         5         7         6         2         4         9         
Vardas9211     Pavardė9211   8         6         9         7         10        1         3         10        10        5         8         9         1         4         4         6         
Vardas9212     Pavardė9212   2         7         10        3         7         1         8         10        5         6         9         6         8         6         10        10        
Vardas9213     Pavardė9213   6         6         4         8         1         3         8         5         1         10        7         1         9         5         8         5         
Vardas9214     Pavardė9214   9         4         8         5         3         10        5         1         2         9         7         7         5         7         6         4         
Vardas9215     Pavardė9215   8         6         9         4         8         3         5         2         6         9         5         7         2         8         4         5         
Vardas9216     Pavardė9216   5         9         6         1         10        10        1         2         4         4         10        5         9         5         10        4         
Vardas9217     Pavardė9217   5         6         3         5         8         4         1         9         2         2         10        7         1         1         9         4         
Vardas9218     Pavardė9218   8         7         3         3         9         5         2         10        10        10        10        8         3         3         10        10        
Vardas9219     Pavardė9219   2         4         2         10        8         6         7         8         6         10        5         6         10        10        5         1         
Vardas9220     Pavardė9220   7         1         10        10        4         5         7         10        10        2         10        9         2         9         3         9         
Vardas9221     Pavardė9221   3         8         9         8         6         9         10        3         3         6         10        1         1         8         3         1         
Vardas9222     Pavardė9222   8         8         10        1         6         3         3         10        3         8         3         9         3         10        10        10        
Vardas9223     Pavardė9223   5         6         7         3         1         10        8         8         3         2         5         6         2         10        7         10        
Vardas9224     Pavardė9224   5         3         3         8         4         9         5         2         2         5         5         8         3         1         3         2         
Vardas9225     Pavardė9225   10        8         4         1         10        4         3         7         5         10        9         4         2         3         5         8         
Vardas9226     Pavardė9226   8         4         9         4         9         1         3         2         10        6         7         4         8         7         8         4         
Vardas9227     Pavardė9227   5         8         8         9         4         6         6         10        1         1         3         9         6         3         1         7         
Vardas9228     Pavardė9228   2         9         9         7         9         1         10        5         6         1         6         2         7         2         9         1         
Vardas9229     Pavardė9229   8         5         4         7         4         6         4         6         8         10        3         4         3         4         4         10        
Vardas9230     Pavardė9230   6         1         4         6         2         9         10        10        3         4         10        2         6         9         6         7         
Vardas9231     Pavardė9231   9         8         1         2         9         9         4         9         8         7         2         6         5         7         7         4         
Vardas9232     Pavardė9232   8         1         10        3         7         3         7         1         6         8         5         3         5         3         10        9         
Vardas9233     Pavardė9233   10        5         5         1         2         1         1         1         7         9         6         4         9         8         7         3         
Vardas9234     Pavardė9234   3         3         8         3         5         9         9         10        9         2         7         9         6         9         9         8         
Vardas9235     Pavardė9235   3         10        5         2         9         5         8         3         8         5         7         9         6         8         8         4         
Vardas9236     Pavardė9236   5         6         8         8         6         8         2         7         5         2         10        4         4         8         2         1         
Vardas9237     Pavardė9237   6         2         6         10        3         3         3         1         6         6         3         1         5         7         9         6         
Vardas9238     Pavardė9238   4         6         7         6         10        1         8         1         6         10        6         2         4         8         4         10        
Vardas9239     Pavardė9239   9         10        7         3         5         5         7         1         10        1         5         3         5         10        5         8         
Vardas9240     Pavardė9240   9         7         10        4         3         7         9         8         8         8         4         3         10        10        1         4         
Vardas9241     Pavardė9241   2         4         2         4         3         2         8         9         2         1         2         6         7         3         5         4         
Vardas9242     Pavardė9242   5         1         10        10        9         3         8         5         6         2         4         9         7         7         8         4         
Vardas9243     Pavardė9243   9         4         10        7         9         10        7         7         5         9         8         2         2         10        3         3         
Vardas9244     Pavardė9244   8         9         8         6         5         8         4         6         6         6         4         10        1         2         8         8         
Vardas9245     Pavardė9245   9         4         5         8         1         1         10        3         3         4         5         8         2         10        3         4         
Vardas9246     Pavardė9246   10        7         1         8         10        4         2         6         1         7         1         2         6         2         9         7         
Vardas9247     Pavardė9247   7         3         8         6         1         9         5         10        7         6         3         3         1         3         7         1         
Vardas9248     Pavardė9248   8         9         9         6         7         8         4         9         2         7         9         7         6         2         1         10        
Vardas9249     Pavardė9249   10        7         3         10        8         8         6         1         3         7         5         4         7         8         2         5         
Vardas9250     Pavardė9250   7         2         3         9         6         5         3         3         2         8         8         8         2         7         5         3         
Vardas9251     Pavardė9251   5         6         1         3         7         10        7         3         6         2         5         6         9         8         3         10        
Vardas9252     Pavardė9252   7         8         10        2         3         6         8         1         4         5         2         10        1         4         9         4         
Vardas9253     Pavardė9253   2         5         8         2         9         8         9         4         1         4         6         6         2         7         4         3         
Vardas9254     Pavardė9254   10        8         9         9         10        3         9         7         8         8         1         4         8         8         1         9         
Vardas9255     Pavardė9255   3         9         9         2         1         7         7         8         4         3         6         10        6         9         9         6         
Vardas9256     Pavardė9256   1         1         9         8         3         6         1         10        8         4         2         1         9         9         5         4         
Vardas9257     Pavardė9257   6         3         5         5         1         3         10        9         10        6         3         4         1         9         8         6         
Vardas9258     Pavardė9258   10        10        10        4         1         4         6         1         10        10        10        1         2         9         7         1         
Vardas9259     Pavardė9259   5         9         7         6         7         2         2         7         1         10        8         2         1         10        7         4         
Vardas9260     Pavardė9260   4         7         2         3         7         9         6         1         5         9         7         4         7         4         6         10        
Vardas9261     Pavardė9261   7         1         5         7         10        1         6         6         6         1         8         6         8         7         5         9         
Vardas9262     Pavardė9262   10        2         7         8         9         4         5         10        9         9         4         5         7         6         9         5         
Vardas9263     Pavardė9263   10        6         8         7         4         9         5         3         8         7         3         1         6         1         7         3         
Vardas9264     Pavardė9264   7         7         8         6         2         6         6         2         2         10        2         7         5         10        1         5         
Vardas9265     Pavardė9265   1         7         10        5         6         7         7         9         8         9         7         8         4         4         6         7         
Vardas9266     Pavardė9266   3         10        4         9         2         7         1         3         2         2         2         4         8         8         5         10        
Vardas9267     Pavardė9267   9         9         3         8         4         5         4         4         8         7         2         7         8         8         9         6         
Vardas9268     Pavardė9268   7         9         4         8         5         3         8         2         7         2         1         9         7         5         5         4         
Vardas9269     Pavardė9269   5         1         2         5         8         2         6         9         5         8         7         8         9         3         8         7         
Vardas9270     Pavardė9270   2         1         5         2         2         9         4         7         4         10        2         1         7         2         9         7         
Vardas9271     Pavardė9271   4         1         4         1         7         10        3         5         9         2         1         1         3         1         6         10        
Vardas9272     Pavardė9272   6         5         9         6         9         4         8         4         6         1         4         9         10        1         5         10        
Vardas9273     Pavardė9273   4         10        5         8         9         9         3         1         2         6         3         9         3         5         1         1         
Vardas9274     Pavardė9274   7         8         5         8         10        1         5         8         5         9         4         4         8         8         10        6         
Vardas9275     Pavardė9275   3         2         8         3         10        2         2         9         9         6         6         8         6         4         2         9         
Vardas9276     Pavardė9276   2         4         10        8         5         10        7         2         3         2         10        9         5         8         8         1         
Vardas9277     Pavardė9277   10        6         2         9         1         10        6         8         5         10        1         4         8         3         9         9         
Vardas9278     Pavardė9278   1         9         8         10        3         4         10        2         2         7         7         6         1         6         5         8         
Vardas9279     Pavardė9279   9         5         9         6         4         1         9         7         6         1         8         5         7         8         10        8         
Vardas9280     Pavardė9280   9         7         9         8         8         9         7         4         2         3         3         1         6         4         2         9         
Vardas9281     Pavardė9281   2         3         6         7         4         2         2         6         1         3         7         10        9         4         5         4         
Vardas9282     Pavardė9282   8         4         7         5         1         4         5         10        4         4         7         2         9         6         9         7         
Vardas9283     Pavardė9283   8         3         10        9         4         7         8         9         4         1         5         5         5         8         3         5         
Vardas9284     Pavardė9284   10        3         10        6         6         9         10        2         7         10        1         4         4         4         4         8         
Vardas9285     Pavardė9285   4         6         9         6         9         4         10        1         6         10        7         1         10        9         8         8         
Vardas9286     Pavardė9286   6         9         6         5         1         5         10        4         9         10        3         6         9         2         3         5         
Vardas9287     Pavardė9287   7         5         2         4         6         2         6         2         2         3         7         7         5         9         9         7         
Vardas9288     Pavardė9288   9         3         9         10        4         6         7         6         10        10        6         3         10        9         1         7         
Vardas9289     Pavardė9289   3         5         4         1         2         7         4         2         3         3         3         9         3         8         6         4         
Vardas9290     Pavardė9290   5         10        8         2         7         3         4         9         5         4         2         6         1         9         10        3         
Vardas9291     Pavardė9291   6         10        5         9         5         10        6         9         4         1         4         8         1         7         6         5         
Vardas9292     Pavardė9292   9         3         2         10        3         3         6         9         5         5         4         8         2         5         10        9         
Vardas9293     Pavardė9293   7         10        9         5         7         5         8         3         3         7         3         2         1         8         9         5         
Vardas9294     Pavardė9294   10        6         1         4         4         1         2         9         4         5         4         3         3         5         3         10        
Vardas9295     Pavardė9295   6         3         7         3         7         6         2         5         2         9         9         8         8         3         4         4         
Vardas9296     Pavardė9296   4         4         3         7         6         5         6         7         1         3         6         5         5         2         2         10        
Vardas9297     Pavardė9297   8         6         5         6         6         8         3         1         5         6         6         6         9         7         8         7         
Vardas9298     Pavardė9298   10        9         4         6         3         2         7         10        9         4         5         7         1         1         9         4         
Vardas9299     Pavardė9299   6         6         4         8         3         6         5         10        5         8         2         8         10        6         6         4         
Vardas9300     Pavardė9300   2         6         6         1         3         5         2         8         10        4         1         7         8         5         1         5         
Vardas9301     Pavardė9301   4         1         5         2         2         8         5         5         3         2         9         6         7         4         3         5         
Vardas9302     Pavardė9302   7         2         9         1         1         4         3         10        2         10        10        10        10        4         5         6         
Vardas9303     Pavardė9303   7         2         6         9         9         10        4         6         6         4         7         1         1         8         6         5         
Vardas9304     Pavardė9304   1         8         1         5         1         6         7         2         2         7         4         7         4         3         7         5         
Vardas9305     Pavardė9305   3         5         4         3         10        8         6         7         6         1         5         2         10        1         1         3         
Vardas9306     Pavardė9306   9         7         10        1         4         3         5         6         10        1         6         7         6         2         10        1         
Vardas9307     Pavardė9307   8         8         4         8         6         2         3         3         2         5         4         8         6         4         9         2         
Vardas9308     Pavardė9308   6         5         8         8         1         5         2         3         4         6         6         8         8         2         6         1         
